Vragen,- happy,neutral, + happy
Voor wie werkt u?,En voor wie werk je eigenlijk,Mag ik vragen voor wie u werkt?,Zou u zo vriendelijk willen zijn om te vertellen voor welk bedrijf u werkt?
5,51,52,53
Wat is uw naam?,En hoe heet jij eigenlijk?,Mag ik vragen wat uw naam is?,Zou u zo vriendelijk willen zijn om uw naam te geven?
1,11,12,13
Waarom bent u hier op de kazerne?,Werkt u hier op de kazerne of bent u hier op bezoek?,,
2,20,,
Werk,En waarom ben jij hier dan op de kazerne?,Mag ik vragen waarom u hier op de kazerne bent?,Zou u zo vriendelijk willen zijn om te vertellen wat de reden is van uw aanwezigheid hier op de kazerne?
,21,22,23
Bezoek,En waarom ben jij hier dan op de kazerne?,Mag ik vragen waarom u hier op de kazerne bent?,Zou u zo vriendelijk willen zijn om te vertellen wat de reden is van uw aanwezigheid hier op de kazerne?
,24,25,26
Waar op de kazerne werkt u?,En waar zit jij dan op de kazerne?,Mag ik vragen waar op de kazerne u werkt?,Zou u zo vriendelijk willen zijn om te vertellen op welke afdeling of plek op de kazerne u werkzaam bent?
4,41,42,43
Hoelang blijft u op de kazerne?,Hoe lang blijf je hier eigenlijk?,Mag ik vragen hoelang u op de kazerne blijft?,Zou u zo vriendelijk willen zijn om te vertellen hoelang u van plan bent op de kazerne te blijven?
3,31,32,33
